"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"MOV10",3081.13532143059,-2.77046215443438,0.0948593933109139,1.62784415008988e-187,1.40444093979801e-186,"OK"
"RHOC",5563.26205168131,-0.848413312669508,0.0585253058144949,1.27448042540658e-47,4.12590370479579e-47,"OK"
"PPM1J",619.165274473485,1.98132243195596,0.12632418252347,1.9329922283856e-55,6.81868675753512e-55,"OK"
"FAM19A3",40.0864284891168,1.54356138994669,0.41388901213865,0.000191929434955578,0.000257224866497255,"OK"
"SLC16A1",6820.10957601109,-1.68091615130999,0.076823934194647,4.01870543920751e-106,2.15208103287917e-105,"OK"
"AKR7A2P1",0.263556938902135,0.43429807028297,0.812442906483346,0.592955349728497,NaN,"Low"
"LRIG2",763.559229565112,-1.27255937344843,0.0983479281307394,2.69863737468756e-38,7.76848621063748e-38,"OK"
"LOC643441",0,NaN,NaN,NaN,NaN,"Low"
"MAGI3",1915.01057733068,1.71800807919686,0.11793468967646,4.52445928699419e-48,1.47142347381869e-47,"OK"
"PHTF1",1704.17776673027,0.451657239981235,0.067985154765733,3.0638580509302e-11,5.32246366776216e-11,"OK"
"RSBN1",2098.23193740389,0.531049801432483,0.101465521393313,1.6606406976921e-07,2.55097294745449e-07,"OK"
"PTPN22",228.21463592252,-3.32918368324556,0.256463952028698,1.56619167738112e-38,4.53133415364895e-38,"OK"
"AP4B1-AS1",54.3800627066713,-4.67812065302663,0.615994349219962,3.09170801072282e-14,5.83025630286876e-14,"OK"
"BCL2L15",74.2256047184242,1.98139862281141,0.595176949013121,0.000871297216559715,0.00112859730693272,"OK"
"AP4B1",2020.51644323562,0.0716099780502982,0.0658626911099211,0.276921192992682,0.299319106647246,"OK"
"DCLRE1B",1341.68462621147,-1.50890652451454,0.128503701602049,7.75140040030429e-32,2.04282897095634e-31,"OK"
"HIPK1",9353.90502583431,0.542887926965723,0.0352196712708822,1.31106902795153e-53,4.53204948170156e-53,"OK"
"OLFML3",1488.17160537037,-2.30095093308493,0.0999903100207991,3.55626479625558e-117,2.0411717768159e-116,"OK"
"SYT6",412.547378075322,-0.573592699295253,0.124824187499238,4.32324544296695e-06,6.24793459905004e-06,"OK"
"TRIM33",4653.80553885867,-0.537313806026254,0.101809771649677,1.30868861899489e-07,2.01853788643337e-07,"OK"
"BCAS2",2869.70424544354,-0.206316245225379,0.0968925953558612,0.033227022752509,0.0389871056389274,"OK"
"DENND2C",95.7887786671045,0.463166439567146,0.352595583387587,0.188983826916509,0.208122617206782,"OK"
"AMPD1",7.60000919488277,-4.22359520173731,1.08600959798389,0.0001006184597806,NaN,"Low"
"NRAS",3951.42063325078,-1.93396810146191,0.0793426428125474,3.15826392829189e-131,1.99820712782161e-130,"OK"
"CSDE1",41568.7117965303,-0.706919725408374,0.0502915117705639,7.03343729523995e-45,2.2104198986829e-44,"OK"
"SIKE1",2811.88748093147,-0.969475531206454,0.0840342595498714,8.61978248454496e-31,2.23386798705052e-30,"OK"
"SYCP1",4.70193449598005,3.57558811403649,1.13957755405589,0.00170311879034192,NaN,"Low"
"TSHB",0,NaN,NaN,NaN,NaN,"Low"
"TSPAN2",155.70464432736,0.169066393712457,0.19795837903382,0.393077173834077,0.417946234739282,"OK"
"NGF",50.7271134067794,0.0597845797284206,0.368257257377668,0.871034489247123,0.880510884066341,"OK"
"VANGL1",1547.36479890903,-4.0249754335502,0.142959996698931,2.10748794100915e-174,1.69468004028497e-173,"OK"
"CASQ2",184.4663030964,5.68926779805194,0.41110295035757,1.48184132426876e-43,4.58387554531692e-43,"OK"
"NHLH2",163.65306865478,4.37726318121478,0.323005178565544,7.74361255350291e-42,2.3407578263842e-41,"OK"
"SLC22A15",1163.94774666024,2.97298922143251,0.0979021815072691,1.50167139410114e-202,1.38514356710566e-201,"OK"
"MAB21L3",26.8360790579592,-2.01742422862804,0.546358453859699,0.000222067314744653,0.00029683125968015,"OK"
"ATP1A1",79593.6160676963,0.756577414133565,0.0370795751691029,1.53592380151816e-92,7.45570013827759e-92,"OK"
"ATP1A1OS",148.113823707887,-0.162850398489371,0.299529994070557,0.586657259831201,0.609674204498702,"OK"
"CD58",398.256364912544,-2.37441352784803,0.187440082488937,8.94231464923304e-37,2.51863605903728e-36,"OK"
"IGSF3",2426.58545359658,-1.63291879082059,0.0683243371620702,3.09821409060938e-126,1.89338861797674e-125,"OK"
"MIR320B1",0,NaN,NaN,NaN,NaN,"Low"
"CD2",11.8353763915588,-1.76565277691638,0.777753724073647,0.023195741670808,0.0275335982497378,"OK"
"PTGFRN",2858.75344861595,-1.40249821430182,0.0571896641679064,8.26886386071973e-133,5.27110369742073e-132,"OK"
"CD101",68.1565810527214,0.236646462649684,0.321373441044054,0.461511800520855,0.486484314792327,"OK"
"TTF2",2651.78231318438,-3.2973798826064,0.0784280984262438,0,0,"OK"
